,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,FISCAL_YEAR,STATE,STATE_NAME,EPA_REGION,PWS_TYPE_CODE,PWS_NAME,CITY_SERVED,STATE_CODE,SOURCE_WATER,IS_TRIBAL,SYSTEM_SIZE,POPULATION_SERVED_COUNT
22,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2014,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
23,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2013,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
24,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2012,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
25,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2011,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
26,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2016,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
27,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2018,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
28,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2019,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
29,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2014,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
30,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2013,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
31,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2012,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
32,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2011,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
33,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2020,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
